phase,depends_on,rationale
P02,P01,Editions et feature gates nécessitent socle code et CI.
P03,"P01,P02",Installateurs doivent intégrer architecture et modèles éditions.
P04,P03,Services systemd livrés par installateurs/packages.
P05,"P03,P04",LVM/PGDATA dépendent du packaging et des services.
P06,P05,"PostgreSQL HA nécessite PGDATA, LVM et migrations stabilisées."
P07,"P02,P09",RBAC dépend du modèle édition et des objets utilisateurs/tenants.
P08,"P01,P07",Frontend dépend API baseline et auth.
P09,"P01,P05",RSOT dépend du socle API et data.
P10,P09,DCIM dépend des objets RSOT.
P11,"P05,P09",IPAM dépend PostgreSQL et modèle commun.
P12,"P09,P10",ITAM dépend actifs et localisation.
P13,"P09,P12",Imports et ITSM externes dépendent du modèle de données.
P14,"P06,P07,P09","Discovery agents nécessite auth, API, DB HA et RSOT."
P15,"P09,P11,P14",Dépendances et flux nécessitent RSOT/IPAM/discovery.
P16,"P10,P11,P12,P15",Modules avancés se basent sur données consolidées.
P17,"P06,P14",Multisite et DR nécessitent DB HA et agents.
P18,P01-P17,GA dépend de tous les lots.
P19,P01;P06;P07;P08,"Le runtime haute performance réutilise contrats API, PostgreSQL, auth et frontend existants."
P20,P19;P06;P14;P16,Le scale-out dépend du socle ASGI/pools et des fonctions métier déjà stabilisées.
P21,P14;P15;P16;P20,"Le cloud-native avancé réutilise Discovery, graphes, SBOM et le socle scale-out."
