requirement_id,requirement_priority,domain,use_case_id,test_id,verification
REQ-00001,N1,DATA,UC-0002,TST-REQ-0001,"Test d’intégration cluster, test de bascule, audit configuration."
REQ-00002,N1,DATA,UC-0002,TST-REQ-0002,"Revue d’architecture, benchmarks synthétiques, validation de schéma."
REQ-00003,N1,DATA,UC-0002,TST-REQ-0003,"Analyse DDL, contrôle automatisé des migrations."
REQ-00004,N1,SOT,UC-0001,TST-REQ-0004,"Tests fonctionnels UI/API, vérification contraintes données."
REQ-00005,N1,SOT,UC-0001,TST-REQ-0005,"Test de restitution à date, comparaison snapshot."
REQ-00006,N1,IPAM,UC-0002,TST-REQ-0006,Tests de concurrence multi-workers.
REQ-00007,N1,IPAM,UC-0002,TST-REQ-0007,"Tests API, fixtures réseau, revue modèle."
REQ-00008,N1,DISC,UC-0004,TST-REQ-0008,"Tests workers, crash recovery, test charge."
REQ-00009,N1,DCIM,UC-0001,TST-REQ-0009,Tests UI/API et jeu de salle représentatif.
REQ-00010,N1,DEP,UC-0005,TST-REQ-0010,"Tests graphes, scénarios impact."
REQ-00011,N1,SEC,UC-0004,TST-REQ-0011,"Tests sécurité, revue RBAC, audit logs."
REQ-00012,N1,API,UC-0002,TST-REQ-0012,Tests API négatifs et inspection SQL.
REQ-00013,N1,AI,UC-0007,TST-REQ-0013,"Tests gouvernance IA, logs décisions."
REQ-00014,N1,OPS,UC-0006,TST-REQ-0014,"Test déploiement, test restauration, test supervision."
REQ-00015,N1,QA,UC-0003,TST-REQ-0015,Contrôle matrice exigences/tests.
REQ-00016,N2,OPS,UC-0006,TST-REQ-0016,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00017,N2,OPS,UC-0006,TST-REQ-0017,Test audit et test de corrélation trace/log/event.
REQ-00018,N2,OPS,UC-0006,TST-REQ-0018,"Test import/export, test file de messages et test reprise."
REQ-00019,N2,OPS,UC-0006,TST-REQ-0019,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00020,N2,OPS,UC-0006,TST-REQ-0020,Test audit et test de corrélation trace/log/event.
REQ-00021,N2,OPS,UC-0006,TST-REQ-0021,"Test import/export, test file de messages et test reprise."
REQ-00022,N2,OPS,UC-0006,TST-REQ-0022,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00023,N2,OPS,UC-0006,TST-REQ-0023,Test audit et test de corrélation trace/log/event.
REQ-00024,N2,OPS,UC-0006,TST-REQ-0024,"Test import/export, test file de messages et test reprise."
REQ-00025,N2,OPS,UC-0006,TST-REQ-0025,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00026,N2,OPS,UC-0006,TST-REQ-0026,Test audit et test de corrélation trace/log/event.
REQ-00027,N2,OPS,UC-0006,TST-REQ-0027,"Test import/export, test file de messages et test reprise."
REQ-00028,N2,OPS,UC-0006,TST-REQ-0028,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00029,N2,OPS,UC-0006,TST-REQ-0029,Test audit et test de corrélation trace/log/event.
REQ-00030,N2,OPS,UC-0006,TST-REQ-0030,"Test import/export, test file de messages et test reprise."
REQ-00031,N1,SOT,UC-0001,TST-REQ-0031,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00032,N1,SOT,UC-0001,TST-REQ-0032,Test audit et test de corrélation trace/log/event.
REQ-00033,N2,SOT,UC-0001,TST-REQ-0033,"Test import/export, test file de messages et test reprise."
REQ-00034,N1,SOT,UC-0001,TST-REQ-0034,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00035,N1,SOT,UC-0001,TST-REQ-0035,Test audit et test de corrélation trace/log/event.
REQ-00036,N2,SOT,UC-0001,TST-REQ-0036,"Test import/export, test file de messages et test reprise."
REQ-00037,N1,SOT,UC-0001,TST-REQ-0037,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00038,N1,SOT,UC-0001,TST-REQ-0038,Test audit et test de corrélation trace/log/event.
REQ-00039,N2,SOT,UC-0001,TST-REQ-0039,"Test import/export, test file de messages et test reprise."
REQ-00040,N1,SOT,UC-0001,TST-REQ-0040,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00041,N1,SOT,UC-0001,TST-REQ-0041,Test audit et test de corrélation trace/log/event.
REQ-00042,N2,SOT,UC-0001,TST-REQ-0042,"Test import/export, test file de messages et test reprise."
REQ-00043,N1,SOT,UC-0001,TST-REQ-0043,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00044,N1,SOT,UC-0001,TST-REQ-0044,Test audit et test de corrélation trace/log/event.
REQ-00045,N2,SOT,UC-0001,TST-REQ-0045,"Test import/export, test file de messages et test reprise."
REQ-00046,N1,SOT,UC-0001,TST-REQ-0046,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00047,N1,SOT,UC-0001,TST-REQ-0047,Test audit et test de corrélation trace/log/event.
REQ-00048,N2,SOT,UC-0001,TST-REQ-0048,"Test import/export, test file de messages et test reprise."
REQ-00049,N1,IPAM,UC-0002,TST-REQ-0049,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00050,N1,IPAM,UC-0002,TST-REQ-0050,Test audit et test de corrélation trace/log/event.
REQ-00051,N1,IPAM,UC-0002,TST-REQ-0051,"Test import/export, test file de messages et test reprise."
REQ-00052,N1,IPAM,UC-0002,TST-REQ-0052,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité."
REQ-00053,N1,IPAM,UC-0002,TST-REQ-0053,Test audit et test de corrélation trace/log/event.
REQ-00054,N1,IPAM,UC-0002,TST-REQ-0054,"Test import/export, test file de messages et test reprise."
