id,release,phases,periode_relative,objectif,livrables_majeurs
REL-00,Alignment v4.8.1,P00,T0 à T0+1 mois,Aligner la roadmap sur le CDC v4.8.1 et verrouiller les décisions structurantes.,Backlog recalé; matrice CDC→roadmap; risques; gates; DoD.
REL-01,Foundation Alpha,P01-P02,T0+1 à T0+4 mois,"Socle engineering, architecture modulaire, éditions, quotas, feature gates et licences.",Repository; CI/CD; API baseline; modèle éditions; services canoniques.
REL-02,Installer & Runtime Alpha,P03-P06,T0+2 à T0+7 mois,"Installateurs autonomes, install.ini, dépendances, LVM, PGDATA, PostgreSQL géré et HA initiale.",installers/; install.ini; openinfra.service; PGDATA; migrations; cluster bootstrap.
REL-03,Lite MVP,P07-P11,T0+5 à T0+11 mois,"Livrer une édition Lite monolithique exploitable avec RSOT, DCIM localisation, IPAM de base et discovery locale.",All-in-one; limites Lite; UI; CLI; API; PostgreSQL low; discovery locale.
REL-04,Pro MVP,P07-P13,T0+7 à T0+15 mois,"Livrer Pro avec backend/web séparés, PostgreSQL medium, LDAP/IPA, RBAC groupes, async et connecteurs ITSM externes.",OpenInfra Pro; web séparé; LDAP/IPA; quotas Pro; ITSM connectors; imports.
REL-05,Enterprise Foundation,P06-P15,T0+10 à T0+20 mois,"Livrer fondation Entreprise : clustering frontend, agents, multisite, HA, synchronisation quasi temps réel, large scale.",Cluster DB; web cluster; agents; multisite; VIP; PGDATA 1TB; performance baseline.
REL-06,Core Functional Beta,P09-P15,T0+12 à T0+22 mois,"Consolider RSOT, DCIM, ITAM, IPAM, dependency mapping, flow management, certificats et conformité réseau.",RSOT; DCIM; ITAM; IPAM++; graphes; flux; certificats; conformité réseau.
REL-07,Enterprise Extensions RC,P16-P17,T0+18 à T0+28 mois,"Ajouter FinOps, GreenOps, SBOM, Field Ops, simulation, RAG gouverné, PRA/PCA multisite.",Modules avancés; DR; runbooks; simulations; RAG permission-aware; reporting.
REL-08,GA Enterprise Scale,P18,T0+24 à T0+34 mois,"Valider production, performances, sécurité, HA, chaos, migration, packaging et documentation.",GA signée; benchmarks; chaos; PITR; failover; doc; release notes; support.
REL-09,High Performance Foundation,P19,Immédiat à T0+3 mois,Fournir le socle ASGI et les pools bornés sans rupture métier.,0.30.0 ASGI API/Web ; pool PostgreSQL ; pool HTTP ; streaming ; CI architecture ; CDC 4.9.0.
REL-10,Enterprise Scale-out,P20,T0+2 à T0+9 mois,"Industrialiser données, workers et frontend pour charges Pro/Entreprise.",PgBouncer ; read replicas ; curseurs ; outbox ; workers ; chunks frontend ; virtualisation ; observabilité et charge réelles.
REL-11,Kubernetes & Cloud-native,P21,T0+30 à T0+38 mois,Compléter les exigences Kubernetes avancées du CDC 4.9.0 après le socle Enterprise Scale-out.,Inventaire multi-cluster; graphe pod→node→VM→hyperviseur→serveur→rack→salle; expositions; SBOM; GitOps drift; capacité; gate cloud-native.
REL-12,Advanced Identity & Database Integration,P22,T0+34 à T0+40 mois,Étendre l’identité et la persistance aux standards d’entreprise sans dépendance Docker en production.,SAML; LDAP avancé; Team Sync LDAP/OAuth/Auth Proxy/Okta; Oracle optionnel Enterprise; runtime systemd; GATE-11.
