clause,exigence,reponse_attendue,preuve_attendue,conformite
REQ-00001,"OpenInfra doit utiliser PostgreSQL Cluster comme persistance transactionnelle principale, avec haute disponibilité, sauvegarde PITR et routage lecture/écriture.",Conforme / Partiellement conforme / Non conforme,"Test d’intégration cluster, test de bascule, audit configuration.",À renseigner par le soumissionnaire
REQ-00002,OpenInfra doit être conçu pour dépasser 10 000 000 000 d’entrées sans refonte majeure du modèle de données.,Conforme / Partiellement conforme / Non conforme,"Revue d’architecture, benchmarks synthétiques, validation de schéma.",À renseigner par le soumissionnaire
REQ-00003,Aucune table à forte croissance ne doit être monolithique et non partitionnée.,Conforme / Partiellement conforme / Non conforme,"Analyse DDL, contrôle automatisé des migrations.",À renseigner par le soumissionnaire
REQ-00004,"Tout équipement physique doit être localisable par bâtiment, étage, salle, ligne, colonne, coordonnées X/Y/Z, rack, face et position U si applicable.",Conforme / Partiellement conforme / Non conforme,"Tests fonctionnels UI/API, vérification contraintes données.",À renseigner par le soumissionnaire
REQ-00005,Le référentiel doit conserver un historique complet time travel permettant de reconstituer l’état à une date donnée.,Conforme / Partiellement conforme / Non conforme,"Test de restitution à date, comparaison snapshot.",À renseigner par le soumissionnaire
REQ-00006,"Les allocations IP doivent être transactionnelles, idempotentes et sûres en concurrence.",Conforme / Partiellement conforme / Non conforme,Tests de concurrence multi-workers.,À renseigner par le soumissionnaire
REQ-00007,"L’IPAM doit supporter IPv4, IPv6, VRF, ASN, BGP, EVPN/VXLAN, MPLS, NAT, DHCP, DNS, DDI, RPKI et blocs RIPE/ARIN/APNIC.",Conforme / Partiellement conforme / Non conforme,"Tests API, fixtures réseau, revue modèle.",À renseigner par le soumissionnaire
REQ-00008,"La découverte doit être distribuée, bornée, planifiable, auditée, relançable et non bloquante pour l’API.",Conforme / Partiellement conforme / Non conforme,"Tests workers, crash recovery, test charge.",À renseigner par le soumissionnaire
REQ-00009,"Le DCIM doit fournir plans 2D/3D, racks, patch panels, PDU, énergie, refroidissement, capacité et jumeau numérique.",Conforme / Partiellement conforme / Non conforme,Tests UI/API et jeu de salle représentatif.,À renseigner par le soumissionnaire
REQ-00010,"Le moteur de dépendances doit modéliser applications, services, flux, graphes, SPOF et analyse d’impact.",Conforme / Partiellement conforme / Non conforme,"Tests graphes, scénarios impact.",À renseigner par le soumissionnaire
