id,phase,stream,priority,title,summary,deliverables,dependencies,acceptance
EPIC-0001,P00,STR-PROD,P1,Gouvernance programme OpenInfra,"Mettre en place comités, rôles, RACI, rituels, gestion des décisions et circuit d’arbitrage.",Charte programme; RACI; calendrier comités; règles de priorisation; modèle de reporting.,Aucun,"Comité opérationnel actif, décisions tracées, backlog initial approuvé."
EPIC-0002,P00,STR-ARCH,P1,Architecture principles & ADR framework,"Définir les principes non négociables : API-first, PostgreSQL cluster, pas d’ITSM intégré, partitionnement massif, sécurité by design.",ADR initiaux; RFC d’exigences; conventions C4; grille de revue architecture.,EPIC-0001,Toute décision structurante dispose d’un ADR validé.
EPIC-0003,P00,STR-QA,P1,Stratégie qualité et Definition of Done,"Définir les seuils qualité, matrices de tests, gates CI/CD, sécurité, performance et documentation.",DoD; DoR; quality gates; stratégie de tests; politique couverture; modèle rapport release.,EPIC-0001,"Aucune user story ne peut sortir sans tests, docs, critères et CI verte."
EPIC-0004,P00,STR-PROD,P1,Backlog macro et découpage releases,"Découper le CDC SFG/STG v4 en epics, features, stories et jalons livrables.",Backlog initial; mapping exigences→epics; releases MVP/Beta/GA; priorisation MoSCoW.,EPIC-0001; EPIC-0002,Chaque exigence N1 a une cible de release et un owner.
EPIC-0101,P01,STR-BE,P1,"Repository, packaging et conventions backend","Créer le dépôt, structure modulaire, packaging reproductible, conventions de code et outillage développeur.",Repository; Makefile ou Taskfile; packaging; hooks; config lint/type/test; documentation dev.,EPIC-0003,"Un développeur clone, installe, teste et lance localement en une procédure documentée."
EPIC-0102,P01,STR-BE,P1,Socle domaine hexagonal,"Implémenter les couches domaine, application, infrastructure et interfaces avec frontières explicites.",Modules core; ports/adapters; erreurs typées; transactions applicatives; conventions DTO.,EPIC-0101,"Le code respecte les frontières, contrôlées par tests d’architecture."
EPIC-0103,P01,STR-BE,P1,API Gateway interne REST baseline,"Livrer API REST versionnée avec pagination, filtres, erreurs normalisées, OpenAPI et authentification minimale.",REST v1; OpenAPI; pagination cursor; filtres indexés; format erreur; health endpoints.,EPIC-0102,"Toutes les listes imposent limite, curseur et tri contrôlé."
EPIC-0104,P01,STR-BE,P1,Moteur jobs asynchrones baseline,"Livrer abstraction de jobs, workers, retries, DLQ, idempotence et observabilité de files.",Job service; worker runtime; retry/backoff; DLQ; métriques; cancellation.,EPIC-0102,Un job interrompu peut être repris sans duplication d’effet.
EPIC-0105,P01,STR-FE,P1,Design system et shell applicatif,"Créer la base UI : navigation, layouts, auth shell, tableaux paginés, formulaires, accessibilité.",Design system; UI shell; composants table/form/detail; navigation; tests UI.,EPIC-0103,L’UI consomme l’API versionnée et respecte les droits reçus.
EPIC-0106,P01,STR-SRE,P1,Environnements dev/test et CI/CD,"Mettre en place CI/CD complète : format, lint, types, tests, sécurité, build, artefacts, smoke.",GitHub Actions; images OCI; tests; scans; SBOM; artefacts; cache contrôlé.,EPIC-0101,"Pipeline bloquant vert sur branche principale, artefacts reproductibles."
EPIC-0107,P01,STR-DOC,P1,Documentation développeur initiale,"Documenter installation, architecture, conventions, branches, contribution et troubleshooting.",README; guide dev; guide architecture; guide contribution; normes API.,EPIC-0101,Un nouveau contributeur installe et lance sans assistance non documentée.
EPIC-0201,P02,STR-DATA,P1,PostgreSQL Cluster référence,"Livrer topologie primaire/réplicas, pooling, routage lecture/écriture, sauvegarde WAL et PITR.",Manifests; Patroni; PgBouncer; HAProxy; pgBackRest; runbooks; tests failover.,EPIC-0106,Bascule primaire et restauration PITR démontrées sur environnement test.
EPIC-0202,P02,STR-DATA,P1,Migrations versionnées et garde-fous DDL,"Mettre en place migrations applicatives, contrôles anti-table massive non partitionnée et rollback documenté.",Migrations; validateur DDL; pipeline migration; conventions naming; rollback.,EPIC-0201,La CI refuse une table massive sans partitionnement ou index critique attendu.
EPIC-0203,P02,STR-DATA,P1,Modèle core multi-tenant,"Livrer tenants, organisations, utilisateurs techniques, tags, champs personnalisés, référentiels communs.",Schéma core; contraintes; API core; tests multi-tenant; isolation logique.,EPIC-0202,Un objet ne peut pas être consulté hors périmètre tenant autorisé.
EPIC-0204,P02,STR-DATA,P1,Partitionnement hot/warm/cold,"Implémenter stratégie partitions temps/tenant/hash, rétention, archivage et restauration partitionnée.",Schémas partitionnés; jobs retention; export froid; runbook restauration; tests charge.,EPIC-0202,"Tables massives partitionnées, purge/archivage testés, requêtes critiques bornées."
EPIC-0205,P02,STR-DATA,P1,Indexation et observabilité SQL,"Activer pg_stat_statements, plans critiques, métriques SQL, détection index inutiles/manquants.",Dashboards DB; alertes; catalogue requêtes critiques; scripts EXPLAIN; seuils.,EPIC-0201,Chaque endpoint critique dispose d’un plan SQL validé et surveillé.
EPIC-0301,P03,STR-BE,P1,Entités Source of Truth,"Livrer objets génériques et spécialisés : devices, interfaces, services, applications, relations typées.",Domain model SOT; API CRUD; validation; recherche clé; tests invariants.,EPIC-0203,"Création, modification, lecture et historisation fonctionnent via API et UI."
EPIC-0302,P03,STR-BE,P1,Relations et graphe relationnel transactionnel,"Modéliser relations typées, cardinalités, périodes de validité, provenance et contraintes.",Relation service; API relations; contraintes; historique; visualisation basique.,EPIC-0301,"Une relation possède type, source, validité, audit et droits associés."
EPIC-0303,P03,STR-BE,P1,Historique time travel initial,Implémenter snapshots/versions objets et relations permettant une restitution à date.,History model; API as-of-date; tests restitution; vues historisées.,EPIC-0301; EPIC-0302,"Une requête à date restitue objet, relations et localisation cohérents."
EPIC-0304,P03,STR-SEC,P1,Audit applicatif central,"Journaliser opérations sensibles avec immutabilité logique, corrélation et export signé.",Audit service; audit API; schémas partitionnés; export signé; tests accès.,EPIC-0204,Aucune modification critique n’est possible sans audit complet.
EPIC-0305,P03,STR-FE,P1,UI Source of Truth,"Livrer listes, fiches, relations, historique, recherche, tags, filtres et actions batch contrôlées.",Pages SOT; détail objet; historique; recherche; formulaires; tests e2e.,EPIC-0301; EPIC-0303,Un exploitant peut consulter et modifier un actif selon ses droits.
EPIC-0306,P03,STR-PROD,P1,Gouvernance minimale des sources,"Définir source autoritative par domaine/attribut, priorité, fraîcheur et comportement conflit.",Règles gouvernance; API; UI; score confiance; tests conflit.,EPIC-0301,Un conflit de source n’écrase jamais silencieusement une donnée certifiée.
EPIC-0401,P04,STR-DATA,P1,Modèle physique DCIM,"Livrer pays, région, ville, site, bâtiment, étage, salle, zone, ligne, colonne, coordonnées X/Y/Z.",Schéma DCIM; contraintes localisation; API; tests validation.,EPIC-0301,Un équipement en salle exige ligne et colonne avant validation.
EPIC-0402,P04,STR-BE,P1,"Racks, U, faces et capacité espace","Gérer racks, positions U, faces, orientation, réservations, conflits, capacité et contraintes physiques.",Rack service; U allocator; conflits; API; tests.,EPIC-0401,Deux équipements ne peuvent pas occuper un même U incompatible.
EPIC-0403,P04,STR-BE,P1,QR codes et chemins intervention,"Générer chemins humains, QR codes, fiches localisation et preuve d’identification terrain.",QR service; fiche PDF/HTML; API; audit scan; tests.,EPIC-0401; EPIC-0402,Un technicien retrouve équipement via QR et chemin complet.
EPIC-0404,P04,STR-FE,P1,Plans 2D salle et rack elevation,"Livrer visualisation grille ligne/colonne, racks, faces, U, occupation et recherche visuelle.",Vue salle 2D; rack elevation; filtres; exports; tests UI.,EPIC-0402,La localisation visuelle correspond aux contraintes stockées en base.
EPIC-0405,P04,STR-BE,P1,Câblage DCIM fondation,"Modéliser ports, câbles, patch panels, chemins, connecteurs et liaisons point-à-point.",Cable model; port model; API; validation; historique.,EPIC-0402,Un câble relie des ports compatibles et son chemin est historisé.
EPIC-0406,P04,STR-BE,P1,Énergie et refroidissement fondation,"Gérer PDU, UPS, circuits A/B, puissance, contraintes froid/chaud et capacité énergétique.",Power model; cooling zones; API capacité; règles alertes.,EPIC-0401,Placement refusé si capacité énergie/poids/refroidissement dépassée.
EPIC-0501,P05,STR-DATA,P1,Modèle IPAM IPv4/IPv6/VRF,"Livrer VRF, aggregates, prefixes, ranges, IP, interfaces, types inet/cidr et contraintes.",Schéma IPAM; contraintes; index GiST/SP-GiST; API base; tests overlap.,EPIC-0202,Adresses chevauchantes autorisées uniquement dans espaces VRF distincts.
EPIC-0502,P05,STR-BE,P1,Allocation IP transactionnelle,"Implémenter next available IP, réservation atomique, idempotency key, locks fins et audit.",IP allocator; API; tests concurrence; audit; erreurs normalisées.,EPIC-0501; EPIC-0304,100 allocations concurrentes ne produisent aucune collision.
EPIC-0503,P05,STR-BE,P1,VLAN/VXLAN/ASN/BGP fondation,"Gérer VLAN groups, VNIs, ASN, route targets, BGP attributes et rattachements IPAM.",Modèles réseau; API; validations; imports; tests.,EPIC-0501,Les relations VRF/VLAN/VNI/ASN sont cohérentes et auditables.
EPIC-0504,P05,STR-BE,P1,Détection conflits IPAM,"Détecter overlap interdit, IP dupliquée, IP hors subnet, DNS/PTR divergents, leases conflictuels.",Conflict engine; API conflits; UI; jobs; tests.,EPIC-0502,"Chaque conflit produit preuve, sévérité, objet impacté et action proposée."
EPIC-0505,P05,STR-FE,P1,UI IPAM opérationnelle,"Livrer vues arborescentes, recherche IP, réservation, capacité, conflits et détails VRF.",Pages IPAM; recherche; reservation wizard; capacité; tests e2e.,EPIC-0502; EPIC-0504,Un ingénieur réserve une IP en VRF avec traçabilité complète.
EPIC-0506,P05,STR-BE,P1,DDI intégration baseline,"Préparer connecteurs DNS/DHCP avec preview, transaction compensatoire, divergence detection.",Connecteur interface; BIND/PowerDNS/Kea baseline; dry-run; rollback compensatoire.,EPIC-0502,Une réservation peut générer une prévisualisation DNS/DHCP sans divergence silencieuse.
EPIC-0601,P06,STR-BE,P1,Import framework générique,"Livrer upload, parsing CSV/XLSX/JSON, mapping, validation, dry-run, rapport impact et job async.",Import service; mapping UI/API; validation; rapport; DLQ; tests.,EPIC-0104; EPIC-0301,Un import invalide ne modifie aucune donnée et produit un rapport exploitable.
EPIC-0602,P06,STR-BE,P1,Import massif scalable,"Implémenter batch borné, COPY PostgreSQL si applicable, checkpoints, reprise et métriques.",Bulk pipeline; checkpoints; throttling; métriques; tests million lignes.,EPIC-0601; EPIC-0204,Import 1M lignes sans bloquer l’usage interactif.
EPIC-0603,P06,STR-BE,P1,Exports asynchrones et signés,"Livrer exports filtrés, génération async, streaming contrôlé, stockage objet et signature.",Export service; formats CSV/XLSX/JSON; object storage; signature; audit.,EPIC-0601,Aucun export volumineux n’est exécuté en synchrone.
EPIC-0604,P06,STR-PROD,P1,Migration depuis référentiels existants,Livrer mappings Device42/NetBox/Nautobot/GLPI/CSV génériques et stratégie de reprise.,Templates mapping; guide migration; dry-run; rapports écarts.,EPIC-0601,Une migration initiale peut être simulée avec rapport d’écarts complet.
EPIC-0701,P07,STR-DISC,P1,Registry collectors et identité forte,"Enregistrer collectors, gérer mTLS, périmètres, versions, heartbeat, secrets via Vault.",Collector registry; mTLS; heartbeat; scopes; API; UI; tests.,EPIC-0104; EPIC-1002,Un collector non autorisé ne peut recevoir aucun job.
EPIC-0702,P07,STR-DISC,P1,Discovery SNMP/LLDP/CDP,"Découvrir équipements réseau, interfaces, ports, VLAN, LLDP/CDP, MAC/ARP.",SNMP collector; LLDP/CDP parser; normalized observations; tests lab.,EPIC-0701,Les observations réseau sont historisées avec preuve et source.
EPIC-0703,P07,STR-DISC,P1,Discovery SSH/WinRM systèmes,"Découvrir Linux/Unix/Windows : matériel, OS, interfaces, logiciels, services, ports.",SSH collector; WinRM collector; parsers; secrets ephemeral; tests.,EPIC-0701,Les données système alimentent SOT sans écrasement silencieux.
EPIC-0704,P07,STR-DISC,P1,Discovery virtualisation et cloud,"Découvrir VMware, Proxmox, Hyper-V, Kubernetes, AWS/Azure/GCP/OpenStack.",Connecteurs; normalisation cloud; tags; mapping VM→host→rack.,EPIC-0701,Les ressources cloud/virtualisation ont identifiants stables et relations correctes.
