key,default_value,scope,override_allowed,validation
storage.vgname,datavg,backend,oui,Nom LVM sûr uniquement
storage.lvname,openinfradata_lv,backend,oui,Nom LVM sûr uniquement
storage.lvsize,lite=2GB;pro=100GB;enterprise=unlimited,backend,oui,Lite <=2GB; Pro <=100GB; Entreprise sans limite applicative
api.backend_endpoint,https://backend.example.com,server/web/agent,oui,URL HTTPS origin sans credentials ni chemin
identity.peer_nodes,,server,oui,Liste optionnelle sans protocole ni port; port interne 2008
identity.replication_protocol,internal,server,non,Protocole choisi par l'installateur pour robustesse performance résilience
auth.mode,standard,server/web,non,Mode standard app+BDD par défaut
auth.postgresql_user_ref,env:OPENINFRA_POSTGRES_USER,server/web,oui,Référence de secret uniquement
auth.postgresql_password_ref,env:OPENINFRA_POSTGRES_PASSWORD,server/web,oui,Référence de secret uniquement
api.enrollment_token_ref,env:OPENINFRA_AGENT_ENROLLMENT_TOKEN,agent,oui,Référence de secret uniquement
systemd.source,installer,all,non,Aucun dossier deploy livré; rendu par installateur
migrations.source,installers/migrations/postgresql during build; /opt/openinfra/share/migrations/postgresql after install,backend,non,Source projet unique puis copie runtime hors installers
security.transport,lite=local;pro=mtls;enterprise=mtls,all,oui,Lite local uniquement; Pro/Enterprise mTLS obligatoire
security.tls_min_version,TLSv1.3,all,non,TLS 1.3 obligatoire
security.mtls_required,lite=false;pro=true;enterprise=true,all,oui,mTLS obligatoire hors Lite
security.server_ca_cert_ref,file:///opt/openinfra/config/trust/openinfra-ca.pem,pro/enterprise,oui,Référence file/vault/sops/kms uniquement
security.client_cert_ref,file:///opt/openinfra/config/tls/<scope>.crt,pro/enterprise,oui,Référence file/vault/sops/kms uniquement
security.client_key_ref,file:///opt/openinfra/config/tls/<scope>.key,pro/enterprise,oui,Référence file/vault/sops/kms uniquement
runtime.config,/opt/openinfra/config/openinfra.conf,all,non,Configuration canonique post-install issue de install.ini et .env
runtime.compat_symlink,/etc/openinfra -> /opt/openinfra/config,all,non,Compatibilité Unix par symlink uniquement
runtime.install_lock,/opt/openinfra/config/.openinfra-installed.lock,all,non,Verrou masqué anti-réinstallation
migrations.runtime_source,/opt/openinfra/share/migrations/postgresql,backend,non,Migrations copiées hors installers pour runtime post-install
auth.operator_scope,frontend-web-only for LDAP/IPA,pro/enterprise web,non,Backend API-only; pas de login LDAP/IPA opérateur côté backend
