test_id,proof_level,pytest_selectors,evidence_files,qualification_scope,rationale
TST-FUNC-0001,automated,tests/integration/test_contract_functional_physical_location.py::test_equipment_location_is_unambiguous_through_api_and_web_contract,tests/integration/test_contract_functional_physical_location.py,,"Preuve API et portails React/runtime de la localisation physique complète, du chemin d’intervention et du payload de repérage déterministe."
TST-FUNC-0002,automated,tests/integration/test_contract_functional_ipam_concurrency.py::test_concurrent_ip_reservations_never_allocate_the_same_address_and_are_web_exposed,tests/integration/test_contract_functional_ipam_concurrency.py,,"Preuve HTTP concurrente de l’unicité des allocations IP, de l’idempotence, de la persistance et de l’exposition dans les deux portails."
TST-FUNC-0003,automated,tests/integration/test_contract_functional_bulk_import.py::test_tst_func_0003_async_bulk_import_csv_xlsx_is_traceable_restartable_and_non_blocking,tests/integration/test_contract_functional_bulk_import.py,,"Preuve bout-en-bout automatisée de l’upload binaire CSV/XLSX en streaming, de la soumission idempotente, du traitement worker non bloquant, des checkpoints, de la persistance RSOT et de l’exposition dans les deux portails."
TST-FUNC-0004,automated,tests/integration/test_contract_functional_distributed_discovery.py::test_tst_func_0004_distributed_snmp_ssh_discovery_is_historized_and_conflict_safe,tests/integration/test_contract_functional_distributed_discovery.py,,"Preuve API/CLI et portails React/runtime de la collecte distribuée SNMP/SSH, de la publication atomique, de l’historique immuable, de l’idempotence et du blocage des conflits avant écriture RSOT."
TST-FUNC-0005,automated,tests/integration/test_contract_functional_change_impact.py::test_tst_func_0005_change_impact_lists_business_services_critical_dependencies_and_spof,tests/integration/test_contract_functional_change_impact.py,,"Preuve bout-en-bout API/CLI et portails React/runtime du rapport de services métier affectés, dépendances critiques et risques SPOF, sans mutation RSOT."
TST-FUNC-0006,external,,tests/unit/test_gate12_qualification.py,Infrastructure cible ou service tiers représentatif requis.,Qualification externe non exécutée localement ; aucun résultat production complet n’est revendiqué.
TST-FUNC-0007,automated,tests/integration/test_dcim_energy_cooling_services.py::TestDcimEnergyCoolingServices::test_equipment_placement_recommendation_is_constraint_aware_and_deterministic,tests/integration/test_dcim_energy_cooling_services.py,,"Preuve bout-en-bout automatisée du classement de placement selon espace U, redondance électrique, capacité rack et refroidissement."
TST-FUNC-0008,automated,tests/integration/test_ipam_ddi_sync_services.py::test_ddi_sync_success_is_idempotent_and_persisted;tests/integration/test_ipam_ddi_sync_services.py::test_ddi_sync_compensates_applied_changes_on_deterministic_failure;tests/integration/test_ipam_ddi_sync_services.py::test_ddi_sync_unknown_first_mutation_requires_reconciliation;tests/integration/test_ipam_ddi_sync_services.py::test_ddi_sync_compensation_failure_is_fail_closed;tests/integration/test_ipam_ddi_sync_services.py::test_ddi_sync_cli_and_http_require_authorization;tests/unit/test_ddi_executors.py::test_powerdns_apply_and_compensate_restore_full_rrset,tests/integration/test_ipam_ddi_sync_services.py;tests/unit/test_domain_ddi_sync.py;tests/unit/test_ddi_executors.py;installers/migrations/postgresql/0060_ipam_ddi_execution_journal.sql,,"Preuve bout-en-bout automatisée de la saga DDI idempotente, de la compensation exacte, des résultats fournisseurs incertains, de la persistance durable et du contrôle d’accès."
TST-FUNC-0009,automated,tests/integration/test_contract_functional_time_travel.py::test_tst_func_0009_time_travel_is_coherent_timestamped_and_provenanced,tests/integration/test_contract_functional_time_travel.py,,"Preuve bout-en-bout service, CLI, API et portails : snapshot cohérent, horodaté, provenance explicite et relations historiquement valides."
TST-FUNC-0010,automated,tests/integration/test_contract_functional_rag_assistant.py::test_tst_func_0010_governed_rag_cites_rsot_objects_and_never_mutates_them,tests/integration/test_contract_functional_rag_assistant.py;web/tests/rag-governance.test.mjs;docs/runbooks/GOVERNED_RAG_ASSISTANT.md,,"Preuve bout-en-bout service, CLI, API et portails : réponse RAG citant les objets RSOT, gouvernance lecture seule et empreinte du référentiel source strictement inchangée."
