id,stream,responsabilites
STR-PROD,Produit & fonctionnel,"Vision, backlog, priorisation, UX métier, critères d’acceptation, démonstrations et arbitrages."
STR-ARCH,Architecture enterprise,"C4, ADR/RFC, urbanisation, décisions structurantes, gouvernance technique et revues d’architecture."
STR-DATA,Data/PostgreSQL,"Modèle, migrations, partitionnement, LVM, PGDATA, HA, index, performance SQL, archivage."
STR-BE,Backend/API,"Domain services, REST, GraphQL, jobs, outbox, webhooks, RBAC, sécurité applicative et CLI."
STR-FE,Frontend React/Bootstrap 5,"Interface web, parité CLI/API/UI, UX DCIM/IPAM/graphes, accessibilité, performance navigateur."
STR-DISC,Discovery & agents,"Agents, protocoles, orchestration, discovery multisite, secrets, réconciliation et preuves."
STR-SEC,Sécurité & IAM,"LDAP/IPA, RBAC/ABAC, SSO, MFA, Vault, chiffrement, audit, threat modeling, tests sécurité."
STR-SRE,Ops/SRE,"Installateurs, systemd, Kubernetes, Helm, observabilité, backup, PRA/PCA, runbooks, support."
STR-QA,QA/Validation,"Tests unitaires, intégration, fonctionnels, sécurité, performance, charge, chaos, non-régression."
STR-DOC,Documentation & enablement,"SFG/STG, guides admin, API, runbooks, formation, migration, notes de release."
STR-ED,Editions & licensing,"OpenInfra Lite/Pro/Entreprise, quotas, feature gates, abonnement/licence, conformité éditions."
STR-PKG,Packaging & installateurs,"Dossier installers hors src, install.ini, dépendances OS, migrations backend, validation et rollback."
STR-MSITE,Multisite & HA,"Topologies multisites, synchronisation quasi temps réel, VIP, agents régionaux, DR et tests de bascule."
