id,jalon,phase,definition
M00,Kickoff programme,P00,"Gouvernance, conventions et backlog initial validés."
M01,Architecture baseline,P01,"Monolithe modulaire, API-first, ADR, repository, CI/CD, environnements prêts."
M02,PostgreSQL HA baseline,P02,"Cluster primaire + deux réplicas, PgBouncer/HAProxy, migrations versionnées, PITR démontré."
M03,MVP Source of Truth,P03,"Objets, relations, audit, historique, RBAC et API/UI de base."
M04,MVP DCIM/IPAM,P04/P05,Localisation ligne/colonne/X/Y/Z et IPAM transactionnel exploitables.
M05,Beta Discovery,P07,Collectors SNMP/SSH/VMware/Kubernetes/Cloud avec réconciliation gouvernée.
M06,Beta Dependency & Flow,P08,"Graphe, flux déclarés/observés, impact analysis et SPOF."
M07,Beta ITAM/Security,P09/P10,"Cycle de vie, licences, contrats, SSO/MFA, audit et policy engine."
M08,Release Candidate Enterprise,P11/P12/P13,"Field ops, simulation, FinOps/GreenOps/SBOM et RAG gouverné."
M09,GA Enterprise,P14,"Performance, résilience, PRA, sécurité, documentation et support validés."
