id,phase,periode_relative,objectif,critere_sortie
P00,Recalage programme sur CDC v4.8.1,T0 à T0+1 mois,"Mettre à jour backlog, architecture, risques et jalons avec toutes les décisions v4.8.1.","Matrice CDC→roadmap complète, priorisation validée, aucune incohérence ouverte."
P01,Socle engineering et architecture,T0+1 à T0+3 mois,"Mettre en place dépôt, architecture logicielle, CI/CD, conventions, API baseline et documentation dev.","Pipeline vert, socle exécutable, quality gates actifs, packaging reproductible."
P02,"Editions, feature gates et modèle de livraison",T0+2 à T0+4 mois,"Implémenter Lite/Pro/Entreprise, quotas, capacités, licences/abonnements et règles de conformité éditions.",Une même base code livre trois éditions avec tests de gates et limites.
P03,Installateurs hors src et configuration install.ini,T0+2 à T0+5 mois,"Créer installers/ avec scopes par édition, config/install.ini, validation, dry-run, dépendances, rollback.","Installateurs idempotents, sans modification de src, validés par édition et scope."
P04,Runtime systemd et packaging OS,T0+3 à T0+6 mois,"Normaliser services canoniques openinfra.service, openinfra-web.service et openinfra-agent.service.",Aucun ancien service backend obsolète; services invariants; packages OS et unités validés.
P05,"Stockage LVM, PGDATA et migrations backend",T0+3 à T0+7 mois,"Créer FS applicatif, FS PostgreSQL /data/openinfra/, symlink, PGDATA réel et migrations backend.",PGDATA=/data/openinfra/ adapté au chemin réel; migrations appliquées par backend.
P06,"PostgreSQL HA, réplication quasi synchrone et sauvegardes",T0+4 à T0+9 mois,"Déployer PostgreSQL géré, Patroni/équivalent, VIP, réplication, PITR, tests failover.",Cluster autonome configuré avec FQDN/IP/mask/VIP/GW/DNS et bascule testée.
P07,"Authentification, LDAP/IPA, RBAC et groupes",T0+5 à T0+10 mois,"Livrer auth locale Lite, LDAP/IPA Pro/Entreprise, mapping groupes→rôles, audit et permissions.",Pro/Entreprise s’authentifient via LDAP/IPA; RBAC par groupes testé.
P08,Frontend React + Bootstrap 5 et parité CLI/API/UI,T0+5 à T0+11 mois,"Livrer shell UI web, design system, appels API backend uniquement et parité fonctionnelle CLI/API/UI.",Toute commande CLI livrée dispose d’un parcours API/UI équivalent ou justifié.
P09,"Source of Truth, gouvernance et qualité de données",T0+6 à T0+13 mois,"Livrer objets, relations, audit, historique, gouvernance source autoritative, scores et réconciliation.","CRUD complet, time travel initial, conflits visibles, qualité mesurée."
P10,"DCIM, localisation physique et capacité",T0+7 à T0+15 mois,"Livrer sites, bâtiments, salles, lignes/colonnes/X/Y/Z, racks, U, câblage, PDU et capacité.",Un équipement physique est localisable univoquement et exploitable terrain.
P11,IPAM Enterprise++ et DDI,T0+7 à T0+16 mois,"Livrer IPv4/IPv6, VRF, ASN, BGP, EVPN/VXLAN, MPLS, NAT, DHCP, DNS, DDI, RPKI et capacité.","Allocation IP concurrente sans conflit, recherche IPAM indexée et audits complets."
P12,"ITAM, garanties/support constructeur et support tiers",T0+9 à T0+17 mois,"Livrer actifs, logiciels, contrats, licences, garanties constructeur, support constructeur et support tiers séparé.",Le support tiers n’écrase jamais le support constructeur initial.
P13,"Imports, exports et connecteurs ITSM externes",T0+9 à T0+18 mois,"Livrer imports/exports asynchrones, dry-run, rollback et connecteurs ServiceNow/Jira/GLPI/Freshservice pour Pro/Entreprise.","Aucun ITSM intégré; connecteurs externes testés, imports massifs reprenables."
P14,"Discovery, agents et réconciliation multisource",T0+10 à T0+21 mois,"Livrer discovery locale, agents Entreprise, protocoles, proxyless/proxy-agent, preuves et scoring.",Agents alimentent la BDD centrale sans accès DB direct et avec mTLS.
P15,"Dependency mapping, flux, certificats et conformité réseau",T0+12 à T0+23 mois,"Livrer graphes, matrices de flux, SPOF, certificats/PKI, conformité configuration réseau et drift.",Impact analysis et flux déclarés/observés exploitables.
P16,Modules avancés enterprise,T0+16 à T0+28 mois,"Livrer Field Ops, simulation, migration planning, FinOps, GreenOps, SBOM, exposition, Kubernetes avancé, Policy Engine et RAG.","Modules avancés gouvernés, non destructifs sans validation, intégrés aux droits."
P17,"Multisite, PRA/PCA et exploitation avancée",T0+18 à T0+30 mois,"Consolider Pro multisite centralisé, Entreprise multisite distribué, DR, PRA/PCA et runbooks.","Bascule site, restauration, monitoring et procédures validés."
P18,Industrialisation GA et scale enterprise,T0+24 à T0+34 mois,"Valider performances, sécurité, chaos, migration, documentation, support, packaging et release.","Go GA signé, benchmarks et validations bloquantes passés."
