schema,entity,description,croissance,partitionnement,indexation_minimale,audit
core,Tenant,Entité logique Tenant du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Organization,Entité logique Organization du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,BusinessUnit,Entité logique BusinessUnit du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,User,Entité logique User du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Group,Entité logique Group du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Role,Entité logique Role du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Permission,Entité logique Permission du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Policy,Entité logique Policy du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Tag,Entité logique Tag du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,CustomField,Entité logique CustomField du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,CustomFieldValue,Entité logique CustomFieldValue du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Attachment,Entité logique Attachment du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Comment,Entité logique Comment du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Notification,Entité logique Notification du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,WebhookSubscription,Entité logique WebhookSubscription du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,EventOutbox,Entité logique EventOutbox du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,IdempotencyKey,Entité logique IdempotencyKey du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Job,Entité logique Job du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,JobRun,Entité logique JobRun du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,JobCheckpoint,Entité logique JobCheckpoint du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Lock,Entité logique Lock du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,ApiToken,Entité logique ApiToken du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,ServiceAccount,Entité logique ServiceAccount du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,IntegrationEndpoint,Entité logique IntegrationEndpoint du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,CredentialReference,Entité logique CredentialReference du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,FeatureFlag,Entité logique FeatureFlag du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,Quota,Entité logique Quota du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,RateLimitBucket,Entité logique RateLimitBucket du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
core,SavedView,Entité logique SavedView du domaine core.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,Asset,Entité logique Asset du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,AssetType,Entité logique AssetType du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,AssetStatus,Entité logique AssetStatus du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,AssetLifecycleState,Entité logique AssetLifecycleState du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,Manufacturer,Entité logique Manufacturer du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,Model,Entité logique Model du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,SerialNumber,Entité logique SerialNumber du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,AssetTag,Entité logique AssetTag du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,Ownership,Entité logique Ownership du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,ResponsiblePerson,Entité logique ResponsiblePerson du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,Environment,Entité logique Environment du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,Criticality,Entité logique Criticality du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,ConfigurationItem,Entité logique ConfigurationItem du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,Relationship,Entité logique Relationship du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,RelationshipType,Entité logique RelationshipType du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,Evidence,Entité logique Evidence du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,ConfidenceScore,Entité logique ConfidenceScore du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,DataSource,Entité logique DataSource du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,ReconciliationRule,Entité logique ReconciliationRule du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,Conflict,Entité logique Conflict du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,ConflictResolution,Entité logique ConflictResolution du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,Snapshot,Entité logique Snapshot du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,ObjectVersion,Entité logique ObjectVersion du domaine rsot.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,TimeTravelQuery,Entité logique TimeTravelQuery du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,ChangeSet,Entité logique ChangeSet du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,ImportBatch,Entité logique ImportBatch du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,ExportBatch,Entité logique ExportBatch du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,GoldenRecord,Entité logique GoldenRecord du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,SourcePriority,Entité logique SourcePriority du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,DataQualityRule,Entité logique DataQualityRule du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
rsot,DataQualityFinding,Entité logique DataQualityFinding du domaine rsot.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Country,Entité logique Country du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Region,Entité logique Region du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,City,Entité logique City du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Campus,Entité logique Campus du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Site,Entité logique Site du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Building,Entité logique Building du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Floor,Entité logique Floor du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Room,Entité logique Room du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,RoomGrid,Entité logique RoomGrid du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,RoomRow,Entité logique RoomRow du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,RoomColumn,Entité logique RoomColumn du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Zone,Entité logique Zone du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,SecurityZone,Entité logique SecurityZone du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,ColdAisle,Entité logique ColdAisle du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,HotAisle,Entité logique HotAisle du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,RackRow,Entité logique RackRow du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Rack,Entité logique Rack du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,RackUnit,Entité logique RackUnit du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,RackReservation,Entité logique RackReservation du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,RackFace,Entité logique RackFace du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,RackElevation,Entité logique RackElevation du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,DeviceMount,Entité logique DeviceMount du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Cable,Entité logique Cable du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,CableSegment,Entité logique CableSegment du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,CablePath,Entité logique CablePath du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Conduit,Entité logique Conduit du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,PatchPanel,Entité logique PatchPanel du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,PatchPort,Entité logique PatchPort du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,PatchCassette,Entité logique PatchCassette du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,FiberTray,Entité logique FiberTray du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Transceiver,Entité logique Transceiver du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Port,Entité logique Port du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Interface,Entité logique Interface du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,PDU,Entité logique PDU du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,PDUOutlet,Entité logique PDUOutlet du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,UPS,Entité logique UPS du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,PowerPanel,Entité logique PowerPanel du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Circuit,Entité logique Circuit du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,PowerFeed,Entité logique PowerFeed du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,PowerChain,Entité logique PowerChain du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,Sensor,Entité logique Sensor du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,SensorMetric,Entité logique SensorMetric du domaine dcim.,massive,obligatoire si massive; temps/tenant/hash selon usage,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,CoolingUnit,Entité logique CoolingUnit du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
dcim,AirflowZone,Entité logique AirflowZone du domaine dcim.,standard,non systématique; selon volumétrie,"tenant_id, id, updated_at; index métier selon requêtes API",oui pour opération critique
