id,volume,domain,type,priority,requirement,rationale,verification,acceptance
REQ-00001,V01,DATA,Fonctionnelle,N1,"OpenInfra doit utiliser PostgreSQL Cluster comme persistance transactionnelle principale, avec haute disponibilité, sauvegarde PITR et routage lecture/écriture.","Garantir cohérence, résilience et exploitation entreprise.","Test d’intégration cluster, test de bascule, audit configuration.","Primaire + deux réplicas démarrent, bascule contrôlée, restauration PITR démontrée."
REQ-00002,V01,DATA,Fonctionnelle,N1,OpenInfra doit être conçu pour dépasser 10 000 000 000 d’entrées sans refonte majeure du modèle de données.,La volumétrie attendue impose une conception partitionnée dès l’origine.,"Revue d’architecture, benchmarks synthétiques, validation de schéma.","Tables massives partitionnées, index critiques validés, stratégie hot/warm/cold documentée."
REQ-00003,V01,DATA,Fonctionnelle,N1,Aucune table à forte croissance ne doit être monolithique et non partitionnée.,Éviter les limites opérationnelles et les scans incontrôlés.,"Analyse DDL, contrôle automatisé des migrations.",Le pipeline refuse une migration créant une table massive sans partitionnement.
REQ-00004,V02,SOT,Fonctionnelle,N1,"Tout équipement physique doit être localisable par bâtiment, étage, salle, ligne, colonne, coordonnées X/Y/Z, rack, face et position U si applicable.",Réduire le temps d’intervention et limiter les erreurs de manipulation.,"Tests fonctionnels UI/API, vérification contraintes données.",Impossible de valider un équipement physique en salle sans ligne et colonne.
REQ-00005,V02,SOT,Fonctionnelle,N1,Le référentiel doit conserver un historique complet time travel permettant de reconstituer l’état à une date donnée.,"Permettre audit, forensic, rollback et analyse d’impact historique.","Test de restitution à date, comparaison snapshot.","Une requête as-of-date restitue objets, relations et localisations cohérents."
REQ-00006,V03,IPAM,Fonctionnelle,N1,"Les allocations IP doivent être transactionnelles, idempotentes et sûres en concurrence.",Empêcher les collisions IP et les corruptions IPAM.,Tests de concurrence multi-workers.,100 réservations simultanées dans le même préfixe ne produisent aucun doublon.
REQ-00007,V03,IPAM,Fonctionnelle,N1,"L’IPAM doit supporter IPv4, IPv6, VRF, ASN, BGP, EVPN/VXLAN, MPLS, NAT, DHCP, DNS, DDI, RPKI et blocs RIPE/ARIN/APNIC.","Couvrir les architectures réseau entreprise, opérateur et cloud hybride.","Tests API, fixtures réseau, revue modèle.","Chaque objet majeur dispose d’un modèle, d’une API et de critères de validation."
REQ-00008,V04,DISC,Fonctionnelle,N1,"La découverte doit être distribuée, bornée, planifiable, auditée, relançable et non bloquante pour l’API.",Maintenir l’usage interactif pendant les scans.,"Tests workers, crash recovery, test charge.",Un crash worker ne perd aucun job validé et l’API reste disponible.
REQ-00009,V05,DCIM,Fonctionnelle,N1,"Le DCIM doit fournir plans 2D/3D, racks, patch panels, PDU, énergie, refroidissement, capacité et jumeau numérique.",Permettre exploitation datacenter complète.,Tests UI/API et jeu de salle représentatif.,Le parcours site → salle → rack → équipement → câble → alimentation est navigable.
REQ-00010,V06,DEP,Fonctionnelle,N1,"Le moteur de dépendances doit modéliser applications, services, flux, graphes, SPOF et analyse d’impact.",Anticiper impacts opérationnels et risques de changement.,"Tests graphes, scénarios impact.",Une dépendance critique et un SPOF sont détectés et expliqués.
REQ-00011,V08,SEC,Fonctionnelle,N1,"La sécurité doit inclure RBAC/ABAC, multi-tenant, SSO, MFA, Vault, chiffrement et journal d’audit immuable.",Répondre aux exigences de sécurité entreprise.,"Tests sécurité, revue RBAC, audit logs.",Un utilisateur ne peut pas accéder hors périmètre tenant/site/rôle.
REQ-00012,V09,API,Fonctionnelle,N1,"Toutes les APIs volumineuses doivent imposer cursor pagination, limite stricte, filtres sélectifs et tri indexé.",Préserver la performance sous charge.,Tests API négatifs et inspection SQL.,Un endpoint volumineux sans filtre sélectif est refusé.
REQ-00013,V10,AI,Fonctionnelle,N1,"Les fonctions IA doivent être optionnelles, gouvernées, auditables et ne jamais modifier la Source of Truth sans validation explicite.",Éviter les risques d’automatisation non maîtrisée.,"Tests gouvernance IA, logs décisions.",Toute suggestion IA est traçable et validée avant application.
REQ-00014,V11,OPS,Fonctionnelle,N1,"La plateforme doit être déployable sur Kubernetes et Docker, avec observabilité, sauvegarde, PRA/PCA et runbooks.",Permettre exploitation industrielle.,"Test déploiement, test restauration, test supervision.",Les tableaux de bord et alertes critiques sont opérationnels.
REQ-00015,V12,QA,Fonctionnelle,N1,"Chaque exigence N1 doit disposer d’un critère d’acceptation, d’un test associé et d’une traçabilité vers un cas d’usage.",Garantir pilotage contractuel et vérification.,Contrôle matrice exigences/tests.,Aucune exigence N1 orpheline dans la matrice.
REQ-00016,V01,OPS,Architecture,N2,"Le périmètre Objectifs du volume Vision & Architecture doit être implémenté par une capacité documentée, exposée par API lorsque pertinent, sécurisée par RBAC et testée.",Le domaine Objectifs fait partie du périmètre entreprise attendu pour OpenInfra.,"Revue documentaire, test API/UI, test d’intégration et matrice de conformité.","Le dossier contient les règles de gestion Objectifs, les critères d’acceptation et au moins un cas d’usage nominal et un cas d’erreur."
REQ-00017,V01,OPS,Audit,N2,"Le domaine Objectifs doit produire des événements d’audit structurés, corrélables et exploitables par l’observabilité.",L’exploitation entreprise exige traçabilité et diagnostic fiable.,Test audit et test de corrélation trace/log/event.,"Chaque opération critique génère un événement avec acteur, tenant, ressource, action, résultat et corrélation."
REQ-00018,V01,OPS,Performance,N2,Le domaine Objectifs doit supporter l’import/export asynchrone lorsque le volume dépasse les seuils configurés.,Les opérations longues ne doivent pas bloquer les APIs interactives.,"Test import/export, test file de messages et test reprise.","Le job est découpé en lots, relançable, journalisé et consultable par API."
