id,title,actors,trigger,preconditions,main,errors,acceptance,domains
UC-0001,Localiser physiquement un équipement en datacenter,"Technicien NOC, exploitant datacenter","Incident ou intervention planifiée sur un serveur, une baie ou un équipement réseau.","L’équipement existe, possède une localisation salle/ligne/colonne/rack/U et l’utilisateur a le droit de consultation.","Recherche par hostname, ouverture fiche, affichage chemin site→salle→ligne→colonne→rack→U, visualisation 2D/3D, génération fiche intervention.",Localisation incomplète refusée en validation ; absence de droits masque le détail sensible.,"Le technicien identifie sans ambiguïté la salle, la ligne, la colonne, le rack et la face d’intervention.",ITRM;DCIM
UC-0002,Réserver une adresse IP disponible dans une VRF,"Ingénieur réseau, automatisation CI/CD",Demande de provisioning applicatif ou réseau.,"VRF, préfixe, règles d’exclusion et permissions IPAM configurés.","Appel API avec idempotency key, sélection préfixe, calcul next available IP, verrou fin, création réservation, audit, réponse API.",Préfixe saturé ; conflit détecté ; idempotency key déjà utilisée ; droit insuffisant.,Deux demandes concurrentes ne peuvent jamais obtenir la même adresse.,IPAM;API;DATA
UC-0003,Importer un inventaire massif depuis CSV/XLSX,"Administrateur inventaire, intégrateur",Migration initiale ou mise à jour périodique.,"Mapping de colonnes validé, fichier contrôlé, quota import disponible.","Upload, validation, dry-run, rapport d’impact, confirmation, découpage en lots, traitement worker, rapport final, conflits.",Fichier invalide ; violation contrainte ; seuil dépassé ; job interrompu puis repris.,"L’import est traçable, relançable et n’interrompt pas l’API interactive.",ITRM;ITAM;DATA;QA
UC-0004,Exécuter une découverte distribuée SNMP/SSH,"Administrateur réseau, collector",Planification ou exécution manuelle d’un scan.,"Collector enregistré, secrets accessibles via Vault, périmètre autorisé.","Découpage par subnet/site/VRF, rate limiting, collecte, normalisation, rapprochement, score de confiance, conflits.",Source indisponible ; secret expiré ; équipement non joignable ; dépassement fenêtre.,Les résultats sont historisés avec preuve de découverte et sans écrasement silencieux.,DISC;ITRM;SEC
UC-0005,Analyser l’impact d’un changement applicatif,"Architecte applicatif, CAB externe, SRE","Changement prévu sur service, serveur, firewall ou base de données.",Les dépendances sont collectées ou déclarées.,"Sélection composant, calcul graphe, détection dépendances entrantes/sortantes, identification SPOF, rapport impact.",Graphe incomplet ; données obsolètes ; périmètre non autorisé.,"Le rapport liste les services métiers, dépendances critiques et risques de SPOF.",DEP;ITRM;DISC
UC-0006,Restaurer PostgreSQL à un instant donné,"DBA, exploitant plateforme","Corruption logique, erreur humaine ou exercice PRA.","Sauvegarde complète et WAL disponibles, runbook validé.","Provision environnement isolé, restauration backup, replay WAL, validation cohérence, reprise applicative.",WAL manquant ; backup corrompu ; dépassement RTO.,La restauration PITR est démontrée et documentée.,OPS;DATA;QA
UC-0007,Créer une vue de capacité datacenter,"Capacity manager, exploitant DC",Planification d’ajout d’équipements.,"Données racks, énergie, refroidissement, poids et espace renseignées.","Calcul capacité restante, simulation placement, contraintes allées chaudes/froides, rapport.",Données manquantes ; contrainte de poids/énergie dépassée.,Le système recommande un placement compatible avec contraintes physiques et énergétiques.,DCIM;AI
UC-0008,Synchroniser un changement IPAM vers DNS/DHCP,"Automatisation réseau, administrateur DNS/DHCP",Réservation ou libération IP validée.,"Connecteur DNS/DHCP configuré, transaction supportée ou compensation disponible.","Prévisualisation, écriture DNS/DHCP, vérification, commit, audit, rollback compensatoire si échec.",Échec DNS ; échec DHCP ; divergence post-commit.,Aucune divergence persistante n’est créée sans alerte et action corrective.,IPAM;API;OPS
UC-0009,Consulter un état historique time travel,"Auditeur, responsable sécurité, architecte",Besoin d’audit ou forensic à une date donnée.,Données historisées et droit de consultation.,"Choix date, reconstruction objet/relations/localisation, comparaison avec état courant, export signé.",Rétention expirée ; accès interdit ; partition froide non montée.,L’état restitué est cohérent et horodaté avec provenance.,ITRM;DATA;SEC
UC-0010,Utiliser l’assistant RAG sur le référentiel,"Exploitant, architecte, analyste NOC","Question en langage naturel sur actifs, IPAM ou dépendances.","Index documentaire construit, permissions appliquées, sources à jour.","Question, filtrage par droits, récupération sources, réponse citée, proposition non destructive.",Sources insuffisantes ; accès hors périmètre ; ambiguïté.,La réponse cite les objets sources et ne modifie aucune donnée sans validation.,AI;SEC;API
